tech	name	repo	path	license	checked	note
javascript	Airbnb JavaScript Style Guide	airbnb/javascript	README.md	MIT	2026-09-21	React part at react/README.md
react	Bulletproof React	alan2207/bulletproof-react	docs/	MIT	2026-09-21	docs/project-standards.md is the one to read first
node	Node.js Best Practices	goldbergyoni/nodebestpractices	README.md	CC-BY-SA-4.0	2026-09-21	repository 68 MB
typescript	Google TypeScript Style Guide	google/styleguide	tsguide.html	NOASSERTION		LICENSE read 2026-09-23 as CC-BY-3.0, not yet confirmed by a person; HTML, not Markdown
python	Google Python Style Guide	google/styleguide	pyguide.md	NOASSERTION		LICENSE read 2026-09-23 as CC-BY-3.0, not yet confirmed by a person; 118 KB
go	Uber Go Style Guide	uber-go/guide	style.md	Apache-2.0	2026-09-21	one file, repository 282 KB
java	Google Java Style Guide	google/styleguide	javaguide.html	NOASSERTION		LICENSE read 2026-09-23 as CC-BY-3.0, not yet confirmed by a person; HTML; no clean Markdown source exists for Java among the large guides, and the Alibaba one is a Chinese PDF
kotlin	Kotlin coding conventions	JetBrains/kotlin-web-site	docs/topics/coding-conventions.md	Apache-2.0	2026-09-21	repository 1.2 GB; pushed after checked, re-check due
swift	Airbnb Swift Style Guide	airbnb/swift	README.md	MIT	2026-09-21	pushed after checked, re-check due
csharp	Google C# Style Guide	google/styleguide	csharp-style.md	NOASSERTION		LICENSE read 2026-09-23 as CC-BY-3.0, not yet confirmed by a person; 20 KB
php	PSR-12 Extended Coding Style	php-fig/fig-standards	accepted/PSR-12-extended-coding-style-guide.md	NOASSERTION		LICENSE.md puts content under CC Attribution and code under MIT, LICENSE-CC.md is CC-BY-3.0, so PSR-12 read 2026-09-23 as CC-BY-3.0, not yet confirmed by a person; take this file and PSR-1 only
rust	Rust API Guidelines	rust-lang/api-guidelines	src/	Apache-2.0 OR MIT	2026-09-21	15 Markdown files; LICENSE-APACHE and LICENSE-MIT both opened
shell	Google Shell Style Guide	google/styleguide	shellguide.md	NOASSERTION		LICENSE read 2026-09-23 as CC-BY-3.0, not yet confirmed by a person; 40 KB
sql	SQL Style Guide	treffynnon/sqlstyle.guide	_includes/sqlstyle.guide.md	NOASSERTION		LICENCE read 2026-09-23 as a one-line pointer to CC-BY-SA-4.0, not yet confirmed by a person; index.md is a 79-byte Jekyll stub; Vietnamese edition at _includes/sqlstyle.guide.vn.md
rest-api	Zalando RESTful API Guidelines	zalando/restful-api-guidelines	chapters/	CC-BY-4.0	2026-09-21	AsciiDoc, repository 29 MB
security	OWASP Cheat Sheet Series	OWASP/CheatSheetSeries	cheatsheets/	CC-BY-SA-4.0	2026-09-21	repository 2.5 GB; pushed after checked, re-check due
